feature,mean_abs_shap
debt_to_income_ratio,0.6594817435626371
property_value,0.37580100720166504
loan_purpose_32,0.24349759495029777
loan_purpose_4,0.2416193768997232
loan_purpose_2,0.18036638071356842
income,0.11813062315885672
preapproval_2,0.113263273347719
loan_type_3,0.10744769782386272
co_applicant_has_credit_score,0.10585839725112987
has_credit_score,0.10216387634801236
submission_of_application_1111,0.0898158536396156
loan_purpose_31,0.08416263065593851
lien_status_2,0.0724636631113526
loan_type_2,0.0574004557358442
submission_of_application_2,0.04539134232278576
occupancy_type_3,0.03710247418051215
conforming_loan_limit_NC,0.006397166552480205
loan_type_4,0.004218336670605568
occupancy_type_2,0.0008405657245158654
loan_purpose_5,0.00037211994018338917
conforming_loan_limit_U,8.510058255772996e-05
